,sentence1,sentence2,pronoun,referent,wrong_referent
0,The skilled sailors left the boats,They were breaking apart,They,boats,sailors
1,The fierce storm affected the flight,It was bringing high winds,It,storm,flight
2,The sharp knife punctured the soccer fence smoothly,It was a old and weakened by time,It,fence,knife
3,The determined birds devoured the chewy seeds,They were a dessert,They,seeds,birds
4,The quick-witted birds swooped down to the crisp seeds,They were crunchy,They,seeds,birds
5,The sailors threw themselves off the safe boats,They were exploring uncharted waters,They,sailors,boats
6,The knife scraped the fence quickly,It was natural and organic,It,fence,knife
7,The passionate people organized a strike against the unjust government,They were denying basic needs,They,government,people
8,The smart sailors threw themselves off the boats,They were taking on water,They,boats,sailors
9,The activist people held a hunger strike against the government,They were standing their ground,They,people,government
10,The bee worked on the flower,It was offering sustenance,It,flower,bee
11,The precise sniper eliminated the terrorist,He was a successful marksman,He,sniper,terrorist
12,The massive storm cancelled the flight,It was full of passengers,It,flight,storm
13,The knife severed the construction fence effortlessly,It was powerful and efficient,It,knife,fence
14,The dedicated students created projects based on the comedy books,They were boring,They,books,students
15,The serrated knife cut through the swimming fence with strength,It was precise and effective,It,knife,fence
16,The sniper targeted the terrorist,He was a resourceful sharpshooter,He,sniper,terrorist
17,The bee hovered near the flower,It was producing pollen,It,flower,bee
18,The students studied the books,They were sharpening their minds,They,students,books
19,The inexperienced sailors vaulted off the boats,They were prone to capsize,They,boats,sailors
20,The bee collected nectar from the flower,It was harvesting nectar,It,bee,flower
21,The imaginative bee sipped nectar from the productive flower,It was generating pollen,It,flower,bee
22,The veteran sailors slid off the boats,They were not following safety procedures,They,sailors,boats
23,The quick-witted birds found the seeds,They were an exciting treat,They,seeds,birds
24,The birds feasted on the seeds,They were having a delicious meal,They,birds,seeds
25,The sailors threw themselves off the reckless boats,They were ignoring the warnings,They,sailors,boats
26,The clever bee collected nectar from the flower,It was filled with pollen,It,flower,bee
27,The sniper fired the terrorist,He was a brutal assassin,He,terrorist,sniper
28,The knife scraped the school fence carefully,It was a sturdy blade,It,knife,fence
29,The knife scratched the fence carefully,It was sharp and powerful,It,knife,fence
30,The students analyzed the ancient books,They were containing valuable information,They,books,students
31,The bee perched on the intricate flower,It was in need of pollen,It,bee,flower
32,The fierce storm prevented the flight,It was flying to Hawaii,It,flight,storm
33,The precise sniper fired the terrorist,He was a veteran shooter,He,sniper,terrorist
34,The people staged a sit-in against the government,They were promoting transparency,They,people,government
35,The bee inspected the flower,It was yielding nectar,It,flower,bee
36,The strong bee rested on the fruitful flower,It was delicious,It,flower,bee
37,The storm caused a delay for the flight,It was creating dangerous conditions,It,storm,flight
38,The precise sniper executed the terrorist,He was a ruthless insurgent,He,terrorist,sniper
39,The desperate sailors dove off the boats,They were battling the storm,They,sailors,boats
40,The winning sniper neutralized the terrorist,He was a successful shooter,He,sniper,terrorist
41,The strong bee flew back out of the flower,It was beautiful,It,flower,bee
42,The hungry birds ate the fertile seeds,They were sweet,They,seeds,birds
43,The precise sniper assassinated the terrorist,He was a talented shooter,He,sniper,terrorist
44,The determined bee was always on the flower,It was bursting with nectar,It,flower,bee
45,The quick-witted birds gobbled down the scrumptious seeds,They were a satisfying meal,They,seeds,birds
46,The sailors leaped off the exposed boats,They were not in control,They,boats,sailors
47,The heart drove vitamin-rich blood that supported life,It was a vitalizing fluid,It,blood,heart
48,The formidable heart beat blood rapidly,It was a resilient muscle,It,heart,blood
49,The heavy-duty knife cut through the fence surrounding the pool,It was rusted and weak,It,fence,knife
50,The strong heart pumped necessary blood that rejuvenated cells,It was a life-invigorating fluid,It,blood,heart
51,The sailors plunged into the boats,They were not balanced,They,boats,sailors
52,The proactive people held a sit-in against the government,They were making their presence known,They,people,government
53,The knife punctured the school fence firmly,It was weathered and corroded,It,fence,knife
54,The heart moved blood with a clear intention,It was a quick organ,It,heart,blood
55,The hardworking students learned from the biography books,They were rich with meaning,They,books,students
56,The chirpy birds flitted to the mouth-watering seeds,They were in need of sustenance,They,birds,seeds
57,The strong bee flew over the sweet flower,It was filled with nectar,It,flower,bee
58,The sniper eliminated the terrorist,He was a accurate shooter,He,sniper,terrorist
59,The clever bee crawled on the lovely flower,It was searching for sweet nectar,It,bee,flower
60,The determined bee buzzed the pristine flower,It was harvesting pollen,It,bee,flower
61,The precise sniper fired the terrorist,He was a notorious combatant,He,terrorist,sniper
62,The adventurous students researched the stimulating books,They were seeking knowledge,They,students,books
63,The ambitious students created projects based on the biography books,They were providing essential knowledge,They,books,students
64,The determined students discussed the enriching books,They were convincing,They,books,students
65,The athletic heart moved blood that fought infections,It was a essential fluid,It,blood,heart
66,The adventurous students memorized the humorous books,They were written by experts,They,books,students
67,The energetic people gathered against the dishonest government,They were bribing officials,They,government,people
68,The people staged a walkout against the government,They were neglecting infrastructure,They,government,people
69,The proactive people staged a walkout against the government,They were demanding a say,They,people,government
70,The knife scratched the old fence with minimal effort,It was a powerful tool,It,knife,fence
71,The storm threatened the flight,It was flying to Hawaii,It,flight,storm
72,The birds chirped and ate the hidden seeds,They were an exciting treat,They,seeds,birds
73,The storm impacted the scheduled flight,It was producing tornadoes,It,storm,flight
74,The unyielding heart moved essential blood with determination,It was a single-minded organ,It,heart,blood
75,The starving birds munched on the succulent seeds,They were tasty and satisfying,They,seeds,birds
76,The knife scratched the weak fence surrounding the park,It was a powerful tool,It,knife,fence
77,The persistent students memorized the thought-provoking books,They were well-written,They,books,students
78,The athletic heart pumped life-enhancing blood that rejuvenated cells,It was a crucial liquid,It,blood,heart
79,The plucky birds tried the seeds,They were a irresistible treat,They,seeds,birds
80,The irresponsible sailors abandoned the well-built boats,They were not trained,They,sailors,boats
81,The self-assured heart pushed blood with assurance,It was a unfaltering muscle,It,heart,blood
82,The heart drove blood that aided digestion,It was a invigorating liquid,It,blood,heart
83,The brilliant students read the self-help books,They were beautifully written,They,books,students
84,The unswerving heart beat blood that nourished cells,It was a immune-boosting liquid,It,blood,heart
85,The efficient bee sought pollen from the flower,It was full of nectar,It,flower,bee
86,The destructive storm cancelled the flight,It was creating dangerous conditions,It,storm,flight
87,The lively birds gobbled down the seeds,They were smoky,They,seeds,birds
88,The bee buzzed the pretty flower,It was seeking pollen,It,bee,flower
89,The resourceful sniper assassinated the terrorist,He was a top marksman,He,sniper,terrorist
90,The storm posed a threat to the morning flight,It was carrying important documents,It,flight,storm
91,The dull knife scraped the fence surrounding the pool,It was easily damaged and in disrepair,It,fence,knife
92,The raging storm affected the commercial flight,It was producing tornadoes,It,storm,flight
93,The strong bee collected nectar from the awe-inspiring flower,It was rich in nectar,It,flower,bee
94,The fearless people formed a coalition against the dishonest government,They were denying equal opportunities,They,government,people
95,The sailors threw themselves off the rickety boats,They were ignoring safety precautions,They,sailors,boats
96,The peaceful people rallied together against the government,They were making a point,They,people,government
97,The indomitable heart moved blood with resilience,It was a streamlined organ,It,heart,blood
98,The eager birds reached for the tough seeds,They were savory,They,seeds,birds
99,The bold sailors leaped off the boats,They were capsizing,They,boats,sailors
100,The birds snatched the seeds,They were trying new things,They,birds,seeds
101,The efficient bee inspected the flower,It was filled with nectar,It,flower,bee
102,The self-assured heart pushed blood rapidly,It was a lively organ,It,heart,blood
103,The unwavering people led a rally against the government,They were demanding better services,They,people,government
104,The enthusiastic heart pushed blood that maintained life,It was a brain-enhancing fluid,It,blood,heart
105,The students absorbed the books,They were exploring ideas,They,students,books
106,The hardworking students pored over the insightful books,They were mastering new subjects,They,students,books
107,The sudden storm impacted the flight,It was full of passengers,It,flight,storm
108,The eager birds feasted on the overflowing seeds,They were a satisfying food,They,seeds,birds
109,The storm delayed the scheduled flight,It was causing flash floods,It,storm,flight
110,The energetic birds ate the seeds,They were rich and indulgent,They,seeds,birds
111,The fearless heart beat blood rapidly,It was a unfaltering organ,It,heart,blood
112,The starving birds swooped down to the scrumptious seeds,They were a tasty snack,They,seeds,birds
113,The ferocious storm affected the international flight,It was flying to Hawaii,It,flight,storm
114,The dull knife sliced through the fence separating the yards,It was old and weakened by time,It,fence,knife
115,The sailors tumbled off the rickety boats,They were taking on water,They,boats,sailors
116,The bee approached the flower,It was attracting attention,It,flower,bee
117,The sniper took down the terrorist,He was a notorious warlord,He,terrorist,sniper
118,The hardworking bee settled on the towering flower,It was acquiring nectar,It,bee,flower
119,The accurate sniper took out the terrorist,He was a talented marksman,He,sniper,terrorist
120,The expert sailors leapt off the boats,They were sinking,They,boats,sailors
121,The unwavering people staged a sit-in against the government,They were spreading hope,They,people,government
122,The students researched the biography books,They were setting their goals,They,students,books
123,The passionate people took a stand against the unfair government,They were committing war crimes,They,government,people
124,The outraged people held a sit-in against the ineffective government,They were neglecting infrastructure,They,government,people
125,The fearless heart circulated blood with resilience,It was a resilient organ,It,heart,blood
126,The ferocious storm suspended the flight,It was headed for Europe,It,flight,storm
127,The fierce storm frightened the international flight,It was flying to Hawaii,It,flight,storm
128,The imaginative bee approached the flower,It was looking for nectar,It,bee,flower
129,The determined bee hovered near the flower,It was securing food,It,bee,flower
130,The bee was always on the symmetrical flower,It was gathering nectar,It,bee,flower
131,The serrated knife scraped the fence surrounding the pool,It was flimsy and weak,It,fence,knife
132,The active bee buzzed around the flower,It was rare,It,flower,bee
133,The skillful heart circulated blood that fought infections,It was a vitamin-rich fluid,It,blood,heart
134,The precise sniper eliminated the terrorist,He was a talented assassin,He,sniper,terrorist
135,The police prosecuted the criminals through the city,They were determined and focused,They,police,criminals
136,The winning sniper fired the terrorist,He was a talented shooter,He,sniper,terrorist
137,The storm hindered the morning flight,It was creating dangerous conditions,It,storm,flight
138,The storm interrupted the scheduled flight,It was bringing high winds,It,storm,flight
139,The students explored the enriching books,They were refining their perspectives,They,students,books
140,The dull knife cut through the fence with minimal effort,It was a precise and accurate,It,knife,fence
141,The bold sailors dived off the boats,They were not properly operated,They,boats,sailors
142,The sniper assassinated the terrorist,He was a notorious killer,He,terrorist,sniper
143,The people organized a boycott against the government,They were covering up scandals,They,government,people
144,The enthusiastic heart moved nourishing blood with resilience,It was a tenacious muscle,It,heart,blood
145,The sniper targeted the terrorist,He was a resourceful marksman,He,sniper,terrorist
146,The formidable heart circulated blood with determination,It was a steadfast muscle,It,heart,blood
147,The enthusiastic heart drove blood with a clear intention,It was a resilient muscle,It,heart,blood
